ID,Total
1,12031.536222510746
2,9524.983854832159
3,5480.367786282028
4,8177.865718085717
5,9752.882344757945
6,12105.066460434582
7,11918.2521194262
8,8978.108985135674
9,11044.048760823694
10,12101.990810219475
11,11298.745514441165
12,9577.546485072568
13,5192.165573539079
14,12034.550041435908
15,11850.332821186974
16,10139.946251396133
17,6211.925006545533
18,8278.394794215144
19,4797.366826541724
20,10024.606780740873
21,6062.864842940168
22,11959.125366082528
23,10003.530114770445
24,9294.535503663707
25,11592.081659040146
26,6063.693621047339
27,5787.794621702614
28,5984.508663276211
29,8086.75533419171
30,5104.88698796299
31,12092.053766724235
32,6543.1253615067935
33,8439.33475420922
34,12032.819377058922
35,5764.569763669095
36,8585.820687070487
37,10688.521987328606
38,8811.503546400198
39,5913.08792049492
40,11849.619789339426
41,12310.7226595943
42,10054.38952584083
43,10085.932962368537
44,11868.030728826347
45,3918.14310080297
46,11851.81890998166
47,6716.928931449084
48,8940.583462748948
49,12033.013459132078
50,11955.541360146213
51,10092.017760754115
52,6707.217983335398
53,5292.104816093914
54,6023.392962831887
55,8464.619084734972
56,9821.071297808803
57,10024.848716191782
58,10835.021529117314
59,11430.088696058358
60,11308.498471949755
61,5538.568771082999
62,5453.593177800413
63,3772.4453600351667
64,12105.931579922164
65,11430.457661894554
66,5851.83620264844
67,4209.661209099593
68,8187.083712335445
69,11637.041148988239
70,6058.165969117499
71,9225.145377633477
72,10139.412596937416
73,8894.070389585208
74,5924.422137847783
75,5827.7099231958
76,12032.976071005858
77,3364.4773914110847
78,5156.464028966486
79,11932.478661036383
80,11364.095236662422
81,7978.099294213168
82,6044.278265658107
83,12405.120515178878
84,9547.795977571412
85,11627.575193633978
86,10567.232724199284
87,10686.05073123187
88,11854.374989563625
89,9682.663605515942
90,9536.91909172257
91,10810.782940320367
92,10822.98526183731
93,11915.44362969996
94,12154.349519863403
95,6468.614668542612
96,11602.60420516178
97,11776.413350887091
98,8444.911174703253
99,5279.485644844029
100,5859.149076462918
